leaf_code,category_path,l1
01.005.001.012,劳保 / 听力防护 / 耳罩 / 防寒手套,劳保
01.005.001.013,劳保 / 听力防护 / 耳罩 / 电焊手套,劳保
01.005.001.014,劳保 / 听力防护 / 耳罩 / 乳胶涂层手套,劳保
01.005.001.015,劳保 / 听力防护 / 耳罩 / PVC涂层手套,劳保
01.005.002.001,劳保 / 听力防护 / 耳塞 / 耳塞,劳保
01.005.002.002,劳保 / 听力防护 / 耳塞 / 耳塞分配器,劳保
01.005.002.003,劳保 / 听力防护 / 耳塞 / 电焊皮手套,劳保
01.005.002.004,劳保 / 听力防护 / 耳塞 / 帆布手套,劳保
01.005.002.005,劳保 / 听力防护 / 耳塞 / 家用手套,劳保
01.005.002.006,劳保 / 听力防护 / 耳塞 / 手指套,劳保
01.005.002.007,劳保 / 听力防护 / 耳塞 / 防静电手环,劳保
01.005.002.008,劳保 / 听力防护 / 耳塞 / 手套夹,劳保
01.005.003.001,劳保 / 听力防护 / 一次性手套 / 一次性丁腈手套,劳保
01.005.003.002,劳保 / 听力防护 / 一次性手套 / 一次性乳胶手套,劳保
01.005.003.003,劳保 / 听力防护 / 一次性手套 / 一次性PVC手套,劳保
01.005.003.004,劳保 / 听力防护 / 一次性手套 / 一次性PE手套,劳保
01.005.003.005,劳保 / 听力防护 / 一次性手套 / 一次性医用乳胶手套,劳保
01.005.003.006,劳保 / 听力防护 / 一次性手套 / 一次性医用丁腈手套,劳保
01.005.003.007,劳保 / 听力防护 / 一次性手套 / 一次性医用PVC手套,劳保
01.005.003.008,劳保 / 听力防护 / 一次性手套 / 一次性医用PE手套,劳保
01.005.004,劳保 / 听力防护 / 手套配件,劳保
01.006.001.001,劳保 / 眼面部防护 / 防护面屏 / 防护面屏,劳保
01.006.001.002,劳保 / 眼面部防护 / 防护面屏 / 防护面屏配件,劳保
01.006.001.003,劳保 / 眼面部防护 / 防护面屏 / 医用面屏,劳保
01.006.001.004,劳保 / 眼面部防护 / 防护面屏 / 防护面屏套装,劳保
01.006.002.001,劳保 / 眼面部防护 / 护目镜 / 电焊眼镜,劳保
01.006.002.002,劳保 / 眼面部防护 / 护目镜 / 多功能护目镜,劳保
01.006.002.003,劳保 / 眼面部防护 / 护目镜 / 普通防护眼镜,劳保
01.006.002.004,劳保 / 眼面部防护 / 护目镜 / 安全近视镜,劳保
01.006.002.005,劳保 / 眼面部防护 / 护目镜 / 医用防护眼镜,劳保
01.006.002.006,劳保 / 眼面部防护 / 护目镜 / 访客眼镜,劳保
01.006.002.007,劳保 / 眼面部防护 / 护目镜 / 老花镜,劳保
01.006.002.008,劳保 / 眼面部防护 / 护目镜 / 眼镜配件,劳保
01.006.003.001,劳保 / 眼面部防护 / 焊接面罩 / 焊接面罩配件,劳保
01.006.003.002,劳保 / 眼面部防护 / 焊接面罩 / 焊接面罩,劳保
01.006.003.003,劳保 / 眼面部防护 / 焊接面罩 / 焊接面屏,劳保
01.007.001.001,劳保 / 头部防护 / 头部防护其它 / 头部防护其它,劳保
01.007.001.002,劳保 / 头部防护 / 头部防护其它 / 防护面屏配件,劳保
01.007.001.003,劳保 / 头部防护 / 头部防护其它 / 医用面屏,劳保
01.007.001.004,劳保 / 头部防护 / 头部防护其它 / 防护面屏套装,劳保
01.007.002.001,劳保 / 头部防护 / 安全帽 / 玻璃钢安全帽,劳保
01.007.002.002,劳保 / 头部防护 / 安全帽 / ABS安全帽,劳保
01.007.002.003,劳保 / 头部防护 / 安全帽 / PE安全帽,劳保
01.007.002.004,劳保 / 头部防护 / 安全帽 / PP安全帽,劳保
01.007.002.005,劳保 / 头部防护 / 安全帽 / 棉安全帽,劳保
01.007.002.006,劳保 / 头部防护 / 安全帽 / 安全帽配件,劳保
01.007.002.007,劳保 / 头部防护 / 安全帽 / 安全帽存放架,劳保
01.007.002.008,劳保 / 头部防护 / 安全帽 / 眼镜配件,劳保
01.007.003.001,劳保 / 头部防护 / 工作帽 / 普通工作帽,劳保
01.007.003.002,劳保 / 头部防护 / 工作帽 / 防护帽,劳保
01.007.003.003,劳保 / 头部防护 / 工作帽 / 防静电无尘帽,劳保
01.007.003.004,劳保 / 头部防护 / 工作帽 / 防寒帽,劳保
01.007.003.005,劳保 / 头部防护 / 工作帽 / 焊帽,劳保
01.007.003.006,劳保 / 头部防护 / 工作帽 / 户外帽,劳保
01.007.003.007,劳保 / 头部防护 / 工作帽 / 厨师帽,劳保
01.007.003.008,劳保 / 头部防护 / 工作帽 / 一次性帽,劳保
01.007.003.009,劳保 / 头部防护 / 工作帽 / 防护头罩,劳保
01.007.004.001,劳保 / 头部防护 / 防撞帽 / 防撞帽,劳保
01.007.005.001,劳保 / 头部防护 / 头盔 / 防护头盔,劳保
01.007.005.002,劳保 / 头部防护 / 头盔 / 消防头盔,劳保
01.008.001.001,劳保 / 防坠落 / 连接件及配件 / 坠落防护安全绳,劳保
01.008.001.002,劳保 / 防坠落 / 连接件及配件 / 坠落制动器,劳保
01.008.001.003,劳保 / 防坠落 / 连接件及配件 / 定位系绳/腰带,劳保
01.008.001.004,劳保 / 防坠落 / 连接件及配件 / 抓绳器,劳保
01.008.001.005,劳保 / 防坠落 / 连接件及配件 / 锚点装置,劳保
01.008.001.006,劳保 / 防坠落 / 连接件及配件 / 升降器,劳保
01.008.001.007,劳保 / 防坠落 / 连接件及配件 / 安全钩,劳保
01.008.001.008,劳保 / 防坠落 / 连接件及配件 / 八字环,劳保
01.008.001.009,劳保 / 防坠落 / 连接件及配件 / 缓冲系绳,劳保
01.008.001.010,劳保 / 防坠落 / 连接件及配件 / 限位/定位系绳,劳保
01.008.002.001,劳保 / 防坠落 / 安全带及配件 / 安全带,劳保
01.008.002.002,劳保 / 防坠落 / 安全带及配件 / 安全带配件,劳保
01.008.002.003,劳保 / 防坠落 / 安全带及配件 / 脚蹬带,劳保
01.008.002.004,劳保 / 防坠落 / 安全带及配件 / 护绳套,劳保
01.008.002.005,劳保 / 防坠落 / 安全带及配件 / 登高板,劳保
01.008.002.006,劳保 / 防坠落 / 安全带及配件 / 腰带式安全带,劳保
01.008.002.007,劳保 / 防坠落 / 安全带及配件 / 半身式安全带,劳保
01.008.003.001,劳保 / 防坠落 / 逃生救援装置 / 救援类三脚架及配件,劳保
01.008.003.002,劳保 / 防坠落 / 逃生救援装置 / 坠落逃生附件,劳保
01.008.003.003,劳保 / 防坠落 / 逃生救援装置 / 防静电无尘帽,劳保
01.008.003.004,劳保 / 防坠落 / 逃生救援装置 / 防寒帽,劳保
01.008.003.005,劳保 / 防坠落 / 逃生救援装置 / 焊帽,劳保
01.008.003.006,劳保 / 防坠落 / 逃生救援装置 / 户外帽,劳保
01.008.003.007,劳保 / 防坠落 / 逃生救援装置 / 厨师帽,劳保
01.008.003.008,劳保 / 防坠落 / 逃生救援装置 / 一次性帽,劳保
01.008.003.009,劳保 / 防坠落 / 逃生救援装置 / 防护头罩,劳保
01.008.004.001,劳保 / 防坠落 / 防撞帽 / 防撞帽,劳保
01.008.005.001,劳保 / 防坠落 / 头盔 / 防护头盔,劳保
01.008.005.002,劳保 / 防坠落 / 头盔 / 消防头盔,劳保
01.009,劳保 / 塑料餐桌,劳保
01.010,劳保 / 塑料餐桌凳,劳保
01.011,劳保 / 帐篷,劳保
01.012,劳保 / 防蚁药/杀虫剂,劳保
01.013,劳保 / 雨布/防雨篷布,劳保
